TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,134750,,NYKAA,,2026-04-28,2026-04-28,227.50,CE,NYKAA26APR227.5CE,0.00,0.00,0.00,39.41,0.00,39.41,239.65,16.55,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145407,,NYKAA,,2026-03-30,2026-03-30,280.00,CE,NYKAA26MAR280CE,0.05,0.05,0.05,0.05,0.05,0.05,239.65,0.05,528125,-34375,18,15752812.50,10,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145395,,NYKAA,,2026-03-30,2026-03-30,250.00,CE,NYKAA26MAR250CE,1.10,1.10,0.15,0.20,0.25,1.45,239.65,0.20,309375,-53125,89,69634687.50,80,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135016,,NYKAA,,2026-05-26,2026-05-26,280.00,CE,NYKAA26MAY280CE,0.00,0.00,0.00,12.92,0.00,12.92,239.65,1.75,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134901,,NYKAA,,2026-05-26,2026-05-26,240.00,CE,NYKAA26MAY240CE,0.00,0.00,0.00,33.17,0.00,33.17,239.65,12.55,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134893,,NYKAA,,2026-05-26,2026-05-26,220.00,CE,NYKAA26MAY220CE,0.00,0.00,0.00,48.17,0.00,48.17,239.65,25.15,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146479,,NYKAA,,2026-04-28,2026-04-28,220.00,CE,NYKAA26APR220CE,0.00,0.00,0.00,27.70,0.00,27.70,239.65,22.35,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146381,,NYKAA,,2026-03-30,2026-03-30,262.50,CE,NYKAA26MAR262.5CE,0.05,0.05,0.05,0.05,0.05,0.10,239.65,0.05,96875,-21875,8,6563750.00,6,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146363,,NYKAA,,2026-03-30,2026-03-30,217.50,CE,NYKAA26MAR217.5CE,0.00,0.00,0.00,26.35,0.00,26.35,239.65,22.25,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STF,51993,,NYKAA,,2026-03-30,2026-03-30,,,NYKAA26MARFUT,240.00,244.30,237.95,238.95,239.60,244.40,239.65,238.95,9696875,-8981250,4201,3151155156.25,3423,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146604,,NYKAA,,2026-04-28,2026-04-28,310.00,PE,NYKAA26APR310PE,0.00,0.00,0.00,70.30,0.00,70.30,239.65,68.90,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134882,,NYKAA,,2026-05-26,2026-05-26,190.00,PE,NYKAA26MAY190PE,0.00,0.00,0.00,0.47,0.00,0.47,239.65,0.25,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135023,,NYKAA,,2026-05-26,2026-05-26,285.00,PE,NYKAA26MAY285PE,0.00,0.00,0.00,30.23,0.00,30.23,239.65,44.10,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146509,,NYKAA,,2026-04-28,2026-04-28,245.00,PE,NYKAA26APR245PE,13.50,13.50,13.50,13.50,13.50,8.80,239.65,10.85,15625,-9375,3,2423437.50,1,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134759,,NYKAA,,2026-04-28,2026-04-28,247.50,PE,NYKAA26APR247.5PE,0.00,0.00,0.00,17.25,17.25,17.25,239.65,12.40,3125,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146578,,NYKAA,,2026-04-28,2026-04-28,260.00,PE,NYKAA26APR260PE,0.00,0.00,0.00,16.70,16.70,16.70,239.65,21.50,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146592,,NYKAA,,2026-04-28,2026-04-28,280.00,PE,NYKAA26APR280PE,0.00,0.00,0.00,32.40,32.40,32.40,239.65,39.45,12500,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146478,,NYKAA,,2026-04-28,2026-04-28,215.00,PE,NYKAA26APR215PE,0.00,0.00,0.00,2.75,2.75,2.75,239.65,1.00,6250,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146459,,NYKAA,,2026-04-28,2026-04-28,200.00,PE,NYKAA26APR200PE,0.00,0.00,0.00,1.00,1.00,1.00,239.65,0.15,3125,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145406,,NYKAA,,2026-03-30,2026-03-30,275.00,PE,NYKAA26MAR275PE,0.00,0.00,0.00,39.30,39.30,39.30,239.65,35.25,37500,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145404,,NYKAA,,2026-03-30,2026-03-30,270.00,PE,NYKAA26MAR270PE,31.05,31.75,29.75,31.10,31.00,25.50,239.65,31.10,203125,-53125,56,52628906.25,34,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146380,,NYKAA,,2026-03-30,2026-03-30,257.50,PE,NYKAA26MAR257.5PE,18.50,18.75,17.85,18.75,18.75,13.90,239.65,17.75,121875,-9375,7,6034687.50,6,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146376,,NYKAA,,2026-03-30,2026-03-30,247.50,PE,NYKAA26MAR247.5PE,8.00,8.45,7.55,7.60,7.55,5.65,239.65,7.60,53125,-15625,15,11970937.50,13,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145390,,NYKAA,,2026-03-30,2026-03-30,235.00,PE,NYKAA26MAR235PE,1.15,1.80,1.00,1.25,1.00,1.15,239.65,1.25,106250,-34375,63,46540000.00,62,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,87073,,BDL,,2026-05-26,2026-05-26,1360.00,PE,BDL26MAY1360PE,0.00,0.00,0.00,185.35,0.00,185.35,1136.90,230.00,0,0,0,0.00,0,F1,350,,,,,
